k,side,h,n,mean,se,period
1.0,edge,8,727,-0.0031177214317230223,0.003057792469367036,development
1.0,edge,9,727,-0.0022349725524218435,0.0032265112931218814,development
1.0,edge,10,727,-0.0019921750871462122,0.003377565452855759,development
1.25,long,1,275,0.002039597456876712,0.00202218621427032,development
1.25,long,2,275,0.005371033404241,0.0028414135849447473,development
1.25,long,3,275,0.005123606923511947,0.003350125251456001,development
1.25,long,4,275,0.003772713749124477,0.003727886918166732,development
1.25,long,5,275,0.006291188556659126,0.0042084778215329315,development
1.25,long,6,275,0.0061070733834348466,0.0046529930631431715,development
1.25,long,7,275,0.0055860719236139915,0.00473582259635883,development
1.25,long,8,275,0.004606713333296788,0.0050348527640676636,development
1.25,long,9,275,0.006840186904417679,0.005442912737747008,development
1.25,long,10,275,0.007050130989307222,0.005441227373688411,development
1.25,short,1,263,0.0022749011534007263,0.001751995772898846,development
1.25,short,2,263,-0.0015802857058088411,0.002645295463393977,development
1.25,short,3,263,-0.000742930434791379,0.0030536001391476223,development
1.25,short,4,263,0.002747817995786995,0.003404866766562993,development
1.25,short,5,263,0.0012623923324930494,0.004009645891103682,development
1.25,short,6,263,0.003155263598167845,0.004363981510612026,development
1.25,short,7,263,0.006547087068770008,0.0045910486535071125,development
1.25,short,8,263,0.00819528985735022,0.004954087567958197,development
1.25,short,9,263,0.006264098325429657,0.005304352997650321,development
1.25,short,10,263,0.007718302046814624,0.005768262130008405,development
1.25,edge,1,538,-6.953476338902524e-05,0.00134434941812711,development
1.25,edge,2,538,0.0035179355516617096,0.001944570235012397,development
1.25,edge,3,538,0.0029821238072786586,0.0022715752662572685,development
1.25,edge,4,538,0.0005851675615562295,0.002531670092165974,development
1.25,edge,5,538,0.0025986387911442164,0.002912110797437578,development
1.25,edge,6,538,0.0015792023310900358,0.0031982461750983916,development
1.25,edge,7,538,-0.0003451935317707513,0.0033083474714062557,development
1.25,edge,8,538,-0.0016515149922425503,0.003541388122567397,development
1.25,edge,9,538,0.00043418873443654604,0.0038101423329533414,development
1.25,edge,10,538,-0.00016938181459620857,0.003969775538097238,development
1.5,long,1,194,-0.00027831169255289237,0.0020584748868284204,development
1.5,long,2,194,0.002342850450939148,0.0027753057387356964,development
1.5,long,3,194,0.002537613945516795,0.0033278693352343076,development
1.5,long,4,194,0.001831836413444113,0.003925060884728043,development
1.5,long,5,194,0.007481883931004379,0.0044881353807661555,development
1.5,long,6,194,0.0064292554182311685,0.0050909275832624196,development
1.5,long,7,194,0.007660842872296522,0.005281878189960906,development
1.5,long,8,194,0.0075219809223829575,0.005816996179006287,development
1.5,long,9,194,0.008784625520559338,0.006159047505294535,development
1.5,long,10,194,0.009687196948505073,0.006027645896279532,development
1.5,short,1,193,0.0032410778689105505,0.0021883630228841304,development
1.5,short,2,193,-0.0006294507197016837,0.0032310170627820965,development
1.5,short,3,193,5.6682994037002e-05,0.0036044287136627654,development
1.5,short,4,193,0.004088003667828974,0.003961343998774539,development
1.5,short,5,193,0.0009820872123380558,0.004813481289867221,development
1.5,short,6,193,0.002080197513917566,0.005287738845320217,development
1.5,short,7,193,0.004354763838227919,0.005519943272766995,development
1.5,short,8,193,0.00747347227447098,0.00586406413279156,development
1.5,short,9,193,0.005225011937440404,0.006269924076146852,development
1.5,short,10,193,0.00621374797424071,0.006839187571983714,development
1.5,edge,1,387,-0.0017558669174547728,0.0015019002923256728,development
1.5,edge,2,387,0.001488364280063617,0.0021265215258765013,development
1.5,edge,3,387,0.0012438172805713619,0.0024501000559769438,development
1.5,edge,4,387,-0.0011204352549944038,0.0027886959868368808,development
1.5,edge,5,387,0.003260833722567454,0.003292832882007476,development
1.5,edge,6,387,0.002185523077392135,0.003671360170949354,development
1.5,edge,7,387,0.0016685635567119813,0.0038268108495813223,development
1.5,edge,8,387,4.3628294494559066e-05,0.004142104069249817,development
1.5,edge,9,387,0.0017979070983527466,0.004403054581575903,development
1.5,edge,10,387,0.001757268343621518,0.004568733766183201,development
2.0,long,1,97,0.002550818228368688,0.003196530525269722,development
2.0,long,2,97,0.0049607662279105525,0.004278414191405863,development
2.0,long,3,97,0.004196269650982088,0.004978751585204935,development
2.0,long,4,97,0.00572381373286344,0.0056679993800218525,development
2.0,long,5,97,0.015698833013097217,0.006217078051195235,development
2.0,long,6,97,0.012243044493462875,0.007026102231047087,development
2.0,long,7,97,0.01777854479320039,0.0074269362533839825,development
2.0,long,8,97,0.01695144177249609,0.00831572086817142,development
2.0,long,9,97,0.01843165562689836,0.009233799440859756,development
2.0,long,10,97,0.01845263541489018,0.009175065248700438,development
2.0,short,1,84,0.005003433414733766,0.0029831671066323233,development
2.0,short,2,84,-0.0007962873476130292,0.004439783900893911,development
2.0,short,3,84,-0.0007803457502037843,0.004490250211234922,development
2.0,short,4,84,0.0028049695820964522,0.004928164327000128,development
2.0,short,5,84,-0.0014314751904715617,0.006016712280204027,development
2.0,short,6,84,0.0012930610393836713,0.007261421858238943,development
2.0,short,7,84,-0.000584702162767101,0.008370147481048468,development
2.0,short,8,84,0.005269919016854803,0.00829233753678197,development
2.0,short,9,84,0.003930237193729826,0.009393566615461119,development
2.0,short,10,84,0.00612121080013048,0.010703045667213211,development
2.0,edge,1,181,-0.0009550223131816224,0.0022144330440229056,development
2.0,edge,2,181,0.003028079896722751,0.003077997304258053,development
2.0,edge,3,181,0.00261097900089713,0.0033787091682272205,development
2.0,edge,4,181,0.0017657043491251473,0.0038052717766883237,development
2.0,edge,5,181,0.009077517780497467,0.004367564198784814,development
2.0,edge,6,181,0.005961094964407019,0.005064248947142441,development
2.0,edge,7,181,0.009799081914988256,0.005582701115609982,development
2.0,edge,8,181,0.006638766047051475,0.005929759350006896,development
2.0,edge,9,181,0.008053760616220085,0.0066289986309843296,development
2.0,edge,10,181,0.007048198497422027,0.0070291950708356345,development
0.5,long,1,388,0.0005021738232340496,0.0012110217886083896,validation
0.5,long,2,388,0.0011476433947902457,0.0018329094139174329,validation
0.5,long,3,388,0.0007618942815463579,0.0019959596065124516,validation
0.5,long,4,388,-0.0002306343137020975,0.002389624086884234,validation
0.5,long,5,388,0.00028863425482959527,0.002586461977241508,validation
0.5,long,6,388,0.0008195398480967743,0.002713269529955675,validation
0.5,long,7,388,0.001672535911378436,0.0027754745737583464,validation
0.5,long,8,388,0.0014732055944578612,0.003034308091173651,validation
0.5,long,9,388,0.0024182098024744573,0.003193644109165337,validation
0.5,long,10,388,0.00342822995365257,0.003261675043105045,validation
0.5,short,1,377,-0.0007454018115054257,0.00116972692960428,validation
0.5,short,2,377,5.076918706457134e-05,0.0014921801822542857,validation
